customer_id,submission_date,overall_rating,product_quality_rating,customer_service_rating,delivery_speed_rating,value_for_money_rating,would_recommend,feedback_text,has_uploaded_image,has_uploaded_audio
CUST-00001,2025-12-01,5,5,5,5,5,Yes,Excellent product quality! The customer service team was very helpful and responsive. Delivery was faster than expected. Will definitely order again.,Yes,No
CUST-00002,2025-11-28,4,4,5,3,4,Yes,Good product overall. Customer service was exceptional when I had questions about the product. Delivery took a bit longer than anticipated but still within reasonable time.,No,No
CUST-00003,2025-11-25,2,2,3,2,2,No,The product quality was not as described. It felt cheap and broke after minimal use. Customer service tried to help but couldn't resolve the issue completely.,Yes,No
CUST-00004,2025-11-20,5,5,4,5,5,Yes,Amazing value for money! The product exceeded my expectations in quality. Only minor issue was a slight delay in customer service response time.,No,Yes
CUST-00005,2025-11-18,3,3,3,4,3,Yes,Average product that does what it's supposed to do. Nothing exceptional but also no major complaints. Delivery was prompt and packaging was secure.,No,No
CUST-00006,2025-11-15,4,4,4,4,4,Yes,Solid product with good build quality. Customer service was helpful when I needed to return the first item due to shipping damage. Replacement arrived quickly.,Yes,Yes
CUST-00007,2025-11-12,1,1,1,1,1,No,Terrible experience from start to finish. Product arrived broken, customer service was unhelpful, and the refund process was a nightmare. Will never order again.,Yes,Yes
CUST-00008,2025-11-10,5,5,5,4,5,Yes,Outstanding product quality and customer service! The product works exactly as advertised and the team went above and beyond to ensure I was satisfied.,No,No
CUST-00009,2025-11-08,3,2,4,3,3,No,Product quality was just okay, not great. Customer service was helpful though. Delivery was on time. Price seems a bit high for the quality received.,No,No
CUST-00010,2025-11-05,4,5,3,4,4,Yes,Product itself is fantastic - well made and durable. Customer service could be more responsive though. Delivery was as expected.,Yes,No
CUST-00011,2025-11-02,2,3,2,2,2,No,Product quality is mediocre at best. Had issues with functionality and customer service wasn't very helpful in resolving them. Delivery was slow too.,No,No
CUST-00012,2025-10-30,5,5,5,5,5,Yes,Perfect experience! Product quality exceeded expectations, customer service was outstanding, delivery was lightning fast, and the price is unbeatable.,Yes,Yes
CUST-00013,2025-10-28,3,3,4,3,3,Yes,Decent product for the price. Customer service was helpful when I had questions. Delivery took a bit longer than expected but arrived safely.,No,No
CUST-00014,2025-10-25,4,4,4,5,4,Yes,Very satisfied with my purchase. Product quality is excellent and delivery was faster than expected. Customer service responded quickly to my inquiry.,Yes,No
CUST-00015,2025-10-22,2,2,2,3,2,No,Product didn't meet my expectations based on the description. Quality feels subpar. Customer service was slow to respond and not very helpful.,No,Yes
CUST-00016,2025-10-20,5,5,4,5,5,Yes,Exceptional product quality! Works perfectly and looks great. Customer service was knowledgeable and friendly. Delivery was prompt and well-packaged.,Yes,No
CUST-00017,2025-10-18,3,4,3,3,3,Yes,Product is good quality overall. Customer service was average - took a while to get responses. Delivery was on schedule. Fair value for the price.,No,No
CUST-00018,2025-10-15,1,1,2,1,1,No,Worst purchase I've made this year. Product arrived damaged, customer service was dismissive, and the return process was complicated. Avoid this company.,Yes,Yes
CUST-00019,2025-10-12,4,4,5,4,4,Yes,Very pleased with this purchase. Product quality is excellent and customer service went above and beyond to help with a question I had. Delivery was prompt.,No,No
CUST-00020,2025-10-10,3,3,3,3,3,Yes,Exactly what I expected for this price point. Product works as described, customer service was adequate, and delivery was on time. No complaints but no wow factor either.,Yes,No
